title,studio,domestic_gross,foreign_gross,year,matched_title,similarity
Stone 2010,Over.,1800000.0,7700000,2010,Stone 2010,100
Peepli Live 2010,UTV,758000.0,8700000,2010,Peepli (Live) 2010,94
Never Let Me Go 2010,FoxS,2400000.0,7000000,2010,Never Let Me Go 2010,100
Mid-August Lunch 2010,Zeit.,675000.0,8700000,2010,Out at Lunch 2010,74
MacGruber 2010,Uni.,8500000.0,797000,2010,MacGruber 2010,100
City Island 2010,Anch.,6700000.0,1200000,2010,Tokyo Island 2010,85
Inside Job 2010,SPC,4300000.0,3600000,2010,Inside Job 2010,100
The Joneses 2010,RAtt.,1500000.0,5500000,2010,The Joneses 2011,94
Centurion 2010,Magn.,124000.0,6700000,2010,Centurion 2010,100
Animal Kingdom 2010,SPC,1000000.0,5700000,2010,Animal Kingdom 2010,100
Nowhere Boy 2010,Wein.,1500000.0,5100000,2010,Nowhere 2010,86
It's Kind of a Funny Story 2010,Focus,6400000.0,128000,2010,It's Kind of a Funny Story 2010,100
"Waiting for ""Superman"" 2010",ParV,6400000.0,9300,2010,Waiting for 'Superman' 2010,100
Greenberg 2010,Focus,4200000.0,1900000,2010,Greenberg 2010,100
Coco Chanel & Igor Stravinsky 2010,SPC,1600000.0,4099999,2010,Passion of Igor Savitsky 2015,63
Vincere 2010,IFC,619000.0,5100000,2010,iCrime 2010,78
The Illusionist (2010) 2010,SPC,2200000.0,3400000,2010,The Illusionist 2010,85
Exit Through the Gift Shop 2010,PDA,3300000.0,2000000,2010,Exit Through the Gift Shop 2010,100
Mademoiselle Chambon 2010,Lorb.,532000.0,4700000,2010,Mademoiselle C 2013,82
Solitary Man 2010,Anch.,4400000.0,818000,2010,Solitary Land 2017,86
Rabbit Hole 2010,LGF,2200000.0,2900000,2010,Rabbit Hole 2010,100
Vision 2010,Zeit.,435000.0,4600000,2010,Vision 2016,91
Mother and Child 2010,SPC,1100000.0,3900000,2010,The Godchild 2010,79
The Runaways 2010,App.,3600000.0,1100000,2010,The Runaways 2010,100
Four Lions 2010,Drft.,305000.0,4400000,2010,Four Lions 2010,100
Wild Grass 2010,SPC,404000.0,4200000,2010,Wild Grass 2017,93
Please Give 2010,SPC,4000000.0,280000,2010,Please Give 2010,100
Monsters 2010,Magn.,237000.0,4000000,2010,Monsters 2010,100
Rare Exports: A Christmas Tale 2010,Osci.,236000.0,3800000,2010,Rare Exports: A Christmas Tale 2010,100
The Killer Inside Me 2010,IFC,217000.0,3800000,2010,The Killer Inside Me 2010,100
The Perfect Game 2010,IW,1000000.0,2800000,2010,The Perfect Burger 2010,86
To Save a Life 2010,Gold.,3800000.0,45800,2010,The real life 2010,76
Inspector Bellamy 2010,IFC,108000.0,3600000,2010,Inspector Gullu 2018,76
Catfish 2010,Rog.,3200000.0,242000,2010,Catfish 2010,100
Wild Target 2010,Free,109000.0,3300000,2010,Wild Target 2010,100
Outside the Law (Hors-la-loi) 2010,,96900.0,3300000,2010,Outside the Law 2010,74
Frozen (2010) 2010,Anch.,246000.0,2900000,2010,Frozen 2010,76
Dabangg 2010,Eros,1300000.0,1700000,2010,Dabangg 2 2012,85
Kites 2010,Relbig.,1600000.0,1300000,2010,Kites 2010,100
Letters to God 2010,Viv.,2800000.0,60300,2010,Letters to God 2010,100
Twelve 2010,Hann.,184000.0,2400000,2010,Twelve 2010,100
Tees Maar Khan 2010,UTV,1100000.0,1400000,2010,Tees Maar Khan 2010,100
Fish Tank 2010,IFC,375000.0,2000000,2010,Shank 2010,83
Housefull 2010,Eros,1200000.0,1200000,2010,Housefull 2010,100
Golmaal 3 2010,Eros,1100000.0,935000,2010,Golmaal 3 2010,100
After.Life 2010,Anch.,109000.0,1900000,2010,After Life 2013,93
Cairo Time 2010,IFC,1600000.0,391000,2010,Cairo Time 2014,93
Flipped 2010,WB,1800000.0,,2010,Flipped 2010,100
Guzaarish 2010,UTV,1000000.0,695000,2010,Guzaarish 2010,100
Ondine 2010,Magn.,550000.0,1100000,2010,Kodie 2010,86
Anjaana Anjaani 2010,Eros,855000.0,761000,2010,Anjaana Anjaani 2010,100
John Rabe 2010,Strand,67500.0,1400000,2010,On Parade 2010,79
Restrepo 2010,NGE,1300000.0,105000,2010,Restrepo 2010,100
Raavan 2010,Relbig.,709000.0,648000,2010,Raavan 2010,100
The City of Your Final Destination 2010,Scre.,493000.0,859000,2010,Final Destination 2013,69
It's a Wonderful Afterlife 2010,UTV,,1300000,2010,It's a Wonderful Afterlife 2010,100
Ajami 2010,Kino,622000.0,669000,2010,Anjali 2010,86
Army of Crime 2010,Lorb.,37000.0,1200000,2010,Summary of Crimes 2014,80
Lebanon 2010,SPC,368000.0,830000,2010,Le Cabanon 2010,89
Howl 2010,Osci.,617000.0,566000,2010,Howl 2010,100
Videocracy 2010,Kino,23700.0,1200000,2010,Debtocracy 2011,80
When You're Strange 2010,Abr.,246000.0,901000,2010,When You're Not Alone 2015,80
The Salvation Poem (Poema de Salvacion) 2010,CZ,915000.0,183000,2010,The Salvation Mountain Man 2018,64
Casino Jack 2010,ATO,1000000.0,40700,2010,Casino Jack 2010,100
Leaving 2010,IFC,176000.0,893000,2010,Leaving 2011,92
Khatta Meetha 2010,Eros,542000.0,499000,2010,Khatta Meetha 2010,100
We Are Family 2010,UTV,638000.0,393000,2010,We Are Family 2010,100
Leaves of Grass 2010,First,70100.0,949000,2010,Days of Grass 2011,79
North Face 2010,MBox,711000.0,216000,2010,The Face 2016,79
Creation 2010,NM,341000.0,555000,2010,Recreation 2011,86
No One Knows About Persian Cats 2010,IFC,81800.0,798000,2010,No One Knows You 2013,67
Carlos 2010,IFC,146000.0,726000,2010,Caos 2010,90
Hideaway (Le Refuge) 2010,Strand,34500.0,837000,2010,Hide & Seek 2010,68
The Disappearance of Alice Creed 2010,Anch.,167000.0,701000,2010,The Disappearance of Lenka Wood 2014,79
Break Ke Baad 2010,Relbig.,428000.0,389000,2010,Break Ke Baad 2010,100
Veer (2010) 2010,Eros,527000.0,277000,2010,Veer! 2012,77
Life During Wartime 2010,IFC,281000.0,487000,2010,Life During Wartime 2014,96
Enter the Void 2010,IFC,336000.0,418000,2010,Enter The Wild 2018,84
The Secret of Kells 2010,GK,677000.0,62700,2010,The Secret of S 2017,86
The Polar Express (IMAX re-issue 2010) 2010,WB,673000.0,,2010,The Polar Explorer 2011,64
No Problem 2010,Eros,285000.0,369000,2010,No Problem 2010,100
All Good Things 2010,Magn.,582000.0,62500,2010,All Good Things 2010,100
Jack Goes Boating 2010,Over.,542000.0,77600,2010,Jack Goes Boating 2010,100
Holy Rollers 2010,FInd.,303000.0,305000,2010,Holy Rollers 2010,100
Chain Letter 2010,NFC,139000.0,447000,2010,Charlie's Letters 2017,77
I Spit on Your Grave 2010,Anch.,93100.0,480000,2010,I Spit on Your Grave 2010,100
I'm Still Here 2010,Magn.,409000.0,160000,2010,I'm Still Here 2010,100
